,administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues,specialday,month,operatingsystems,browser,region,traffictype,visitortype,weekend,revenue
65,3,87.83333333,0,0.0,27,798.3333333,0.0,0.012643678,22.9160357,0.8,Feb,Windows,Chrome,Eastern,Direct,Returning_Visitor,False,True
76,10,1005.666667,0,0.0,36,2111.341667,0.004347826,0.014492754,11.43941195,0.0,Feb,Windows,Edge,Central,Organic,Returning_Visitor,False,True
101,4,61.0,0,0.0,19,607.0,0.0,0.026984127,17.53595893,1.0,Feb,Mac OS,Safari,Southern,Email marketing,Returning_Visitor,True,True
188,9,111.5,1,48.5,49,1868.819697,0.0,0.020708874,1.706014966,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
196,2,56.0,1,144.0,67,2563.783333,0.0,0.005797101,19.34265017,0.0,Mar,Windows,Chrome,Western,Organic,New_Visitor,False,True
198,0,0.0,0,0.0,17,840.2333333,0.0,0.001666667,109.176,0.0,Mar,Windows,Chrome,North-East,Organic,New_Visitor,False,True
199,3,94.0,2,125.0,55,1970.844805,0.0,0.001724138,96.25511582,0.0,Mar,Windows,Mozilla,Central,Organic,New_Visitor,True,True
200,1,32.0,0,0.0,50,2867.0,0.0,0.004,153.4432478,0.0,Mar,Windows,Chrome,Southern,Offline channels,Returning_Visitor,True,True
206,1,18.0,0,0.0,16,1331.75,0.0,0.0125,33.79956701,0.0,Mar,Windows,Opera,Northern,Referral,New_Visitor,False,True
220,2,38.0,0,0.0,14,643.0,0.0,0.013333333,35.0928,0.0,Mar,Windows,Chrome,South-East,Direct,Returning_Visitor,False,True
228,0,0.0,0,0.0,16,2337.0,0.0,0.013333333,17.76266667,0.0,Mar,Windows,Chrome,Central,Direct,Returning_Visitor,False,True
248,16,155.6313131,0,0.0,32,908.013456,0.005,0.01805276,4.368515556,0.0,Mar,Windows,Chrome,Eastern,Organic,Returning_Visitor,False,True
262,1,158.0,1,64.0,29,1916.761905,0.006451613,0.018709677,8.772473118,0.0,Mar,Windows,Chrome,Eastern,Organic,Returning_Visitor,True,True
265,0,0.0,0,0.0,63,5220.083333,0.0,0.003329865,51.46331148,0.0,Mar,Windows,Opera,Eastern,Direct,Returning_Visitor,True,True
276,4,15.0,0,0.0,10,197.2,0.0,0.016666667,38.99,0.0,Mar,Mac OS,Safari,Central,Referral,Returning_Visitor,True,True
281,0,0.0,0,0.0,11,300.0714286,0.0,0.02,53.9892,0.0,Mar,Windows,Chrome,Central,Others,Returning_Visitor,True,True
294,2,8.0,1,14.33333333,14,603.6666667,0.0,0.0125,44.67925,0.0,Mar,Windows,Chrome,Central,Others,Returning_Visitor,False,True
295,0,0.0,0,0.0,13,328.9166667,0.0,0.014285714,59.79014286,0.0,Mar,Linux,Chrome,Central,Referral,Returning_Visitor,False,True
320,1,38.0,0,0.0,23,1483.6,0.022916667,0.038373016,7.103020833,0.0,Mar,Linux,Chrome,North-West,Direct,Returning_Visitor,False,True
355,0,0.0,1,9.0,30,1992.833333,0.0,0.003333333,9.227000967,0.0,Mar,Windows,Mozilla,Central,Referral,Returning_Visitor,False,True
365,3,618.0,0,0.0,9,341.0,0.0,0.007692308,34.43601877,0.0,Mar,Windows,Chrome,North-East,Referral,New_Visitor,False,True
379,2,102.5,3,60.0,22,1034.975,0.0,0.014,16.14384,0.0,Mar,Mac OS,Safari,Western,Organic,Returning_Visitor,False,True
390,6,71.5,0,0.0,47,1532.2,0.009929078,0.019797366,27.26888014,0.0,Mar,Windows,Chrome,Central,Direct,Returning_Visitor,False,True
399,7,191.2,4,654.3333333,31,1204.600433,0.000854701,0.013342491,11.92009615,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
400,2,47.0,0,0.0,39,1743.366667,0.0,0.016410256,78.93483561,0.0,Mar,Linux,Samsung,Northern,Direct,Returning_Visitor,False,True
408,8,237.5,4,142.0,30,1569.625,0.0,0.008108108,15.88906362,0.0,Mar,Mac OS,Chrome,Central,Others,Returning_Visitor,True,True
416,0,0.0,2,39.0,15,245.0,0.0,0.0125,11.9955404,0.0,Mar,Windows,Chrome,Central,Referral,Returning_Visitor,True,True
424,4,74.0,2,629.0,149,5042.458059,0.003870968,0.007285123,18.36804916,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
457,0,0.0,0,0.0,17,766.5,0.0,0.0125,61.9395,0.0,Mar,Windows,Chrome,Central,Organic,New_Visitor,True,True
503,4,100.3,0,0.0,66,2868.133333,0.011428571,0.01725974,9.162351243,0.0,Mar,Linux,Chrome,Central,Direct,Returning_Visitor,False,True
510,14,416.3928571,6,449.3333333,258,11301.20416,0.0,0.00742538,33.6117917,0.0,Mar,Windows,Mozilla,North-East,Organic,Returning_Visitor,False,True
587,0,0.0,1,0.0,51,2122.656061,0.0,0.007051282,9.294775641,0.0,Mar,Windows,Chrome,Central,Paid media,Returning_Visitor,False,True
601,6,99.60588235,0,0.0,83,2585.61835,0.0,0.00761877,6.871308983,0.0,Mar,Windows,Chrome,Northern,Organic,Returning_Visitor,False,True
603,3,68.0,1,103.0,10,808.5,0.0,0.015384615,35.99261538,0.0,Mar,Windows,Chrome,Eastern,Others,Returning_Visitor,True,True
609,1,34.0,0,0.0,7,179.0,0.0,0.028571429,53.13428571,0.0,Mar,Windows,Mozilla,Northern,Offline channels,New_Visitor,False,True
610,6,176.25,12,404.0,41,2720.671429,0.012962963,0.033262108,8.833825926,0.0,Mar,Windows,Chrome,Northern,Organic,Returning_Visitor,True,True
612,6,523.2142857,2,263.0,48,2309.732468,0.003846154,0.014903846,10.60089168,0.0,Mar,Windows,Chrome,Eastern,Direct,Returning_Visitor,False,True
614,3,118.6666667,0,0.0,17,694.0,0.003703704,0.008333333,27.45138186,0.0,Mar,Linux,Chrome,Central,Organic,Returning_Visitor,True,True
621,3,92.83333333,0,0.0,24,463.8166667,0.002666667,0.015333333,17.84230699,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,False,True
633,0,0.0,0,0.0,37,1643.435516,0.005555556,0.032271242,2.188718519,0.0,Mar,Windows,Mozilla,Eastern,Organic,Returning_Visitor,True,True
637,0,0.0,0,0.0,27,1070.461905,0.0,0.007407407,57.7293604,0.0,Mar,Windows,Chrome,Eastern,Organic,Returning_Visitor,False,True
641,17,754.1095238,2,77.0,31,1021.619336,0.004545455,0.026479076,2.08053355,0.0,Mar,Mac OS,Safari,Eastern,Organic,Returning_Visitor,False,True
647,0,0.0,0,0.0,45,1594.283333,0.0,0.015227273,45.4316713,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,True,True
652,2,47.0,0,0.0,21,825.0833333,0.0,0.009090909,10.7929507,0.0,Mar,Windows,Chrome,Northern,Organic,New_Visitor,False,True
665,5,134.9285714,2,41.0,31,2013.595238,0.0,0.014141414,8.482727273,0.0,Mar,Windows,Chrome,South-West,Organic,Returning_Visitor,False,True
682,2,45.44444444,1,40.66666667,57,851.6426534,0.0,0.007923497,3.077836066,0.0,Mar,Windows,Mozilla,Eastern,Direct,Returning_Visitor,True,True
694,1,72.66666667,4,345.0,24,879.9090909,0.0,0.035897436,6.482798269,0.0,Mar,Windows,Mozilla,Western,Direct,Returning_Visitor,False,True
695,5,100.9166667,0,0.0,56,1432.223333,0.0,0.002185792,69.43043195,0.0,Mar,Windows,Chrome,Eastern,Referral,Returning_Visitor,True,True
697,3,49.5,1,29.5,45,1545.5,0.0,0.004,20.97144,0.0,Mar,Windows,Mozilla,Eastern,Offline channels,Returning_Visitor,True,True
702,6,96.85714286,0,0.0,28,672.5452381,0.0,0.020707071,19.71468924,0.0,Mar,Mac OS,Safari,Northern,Paid media,Returning_Visitor,False,True
704,19,402.1857143,4,116.0,64,3179.354257,0.002531646,0.016289934,4.642,0.0,Mar,Windows,Chrome,Northern,Organic,Returning_Visitor,False,True
722,4,359.3,4,407.0,69,5485.105556,0.010526316,0.017493734,4.494741228,0.0,Mar,Mac OS,Safari,Northern,Direct,Returning_Visitor,True,True
